systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536560828358,120,1,66,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1158.3984,2213.75
1536560828816,120,1,66,458,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,987.1875,1766.25
1536560829442,120,1,66,1084,t,qwertyuiopåasdfghjklöäzxcvbnm,mit,613.125,1821.25
1536560830052,120,1,66,1694,ä,qwertyuiopåasdfghjklöäzxcvbnm,mitä,1378.4766,1956.875
1536560830771,120,1,66,2413, ,qwertyuiopåasdfghjklöäzxcvbnm,mitä ,815.27344,2451.25
1536560831360,120,1,66,3002,s,qwertyuiopåasdfghjklöäzxcvbnm,mitä s,235.89844,2001.875
1536560832338,120,1,66,3980,i,qwertyuiopåasdfghjklöäzxcvbnm,mitä si,1007.22656,1746.25
1536560832765,120,1,66,4407,n,qwertyuiopåasdfghjklöäzxcvbnm,mitä sin,1007.22656,2228.75
1536560833097,120,1,66,4739,ä,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä,1408.3594,1993.125
1536560833538,120,1,66,5180, ,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä ,803.3203,2473.125
1536560834345,120,1,66,5987,l,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä l,1132.3828,1963.75
1536560834793,120,1,66,6435,u,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä lu,861.3281,1790.0
1536560834959,120,1,66,6601,u,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luu,824.0625,1788.125
1536560835479,120,1,66,7121,l,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luul,1098.2812,1961.25
1536560836220,120,1,66,7862,r,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luulr,408.16406,1783.75
1536560836572,120,1,66,8214,t,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luulrt,571.9922,1755.0
1536560837460,120,1,66,9102,B,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luulr,1322.5781,2206.25
1536560837599,120,1,66,9241,B,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luul,1331.3672,2235.0
1536560838479,120,1,66,10121,e,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luule,356.1328,1798.75
1536560839009,120,1,66,10651,t,qwertyuiopåasdfghjklöäzxcvbnm,mitä sinä luulet,554.0625,1798.125
1536560847902,120,1,52,0,p,qwertyuiopåasdfghjklöäzxcvbnm,p,1247.3438,1716.875
1536560848573,120,1,52,671,i,qwertyuiopåasdfghjklöäzxcvbnm,pi,988.2422,1788.75
1536560849031,120,1,52,1129,t,qwertyuiopåasdfghjklöäzxcvbnm,pit,592.03125,1813.75
